,airport,year,semester,traffic,period
0,agadir,2009,s1,,2009_s1
1,agadir,2009,s2,,2009_s2
2,agadir,2010,s1,762741.0,2010_s1
3,agadir,2010,s2,864744.0,2010_s2
4,agadir,2011,s1,771894.0,2011_s1
5,agadir,2011,s2,744353.0,2011_s2
6,agadir,2012,s1,661106.0,2012_s1
7,agadir,2012,s2,723825.0,2012_s2
8,agadir,2013,s1,698320.0,2013_s1
9,agadir,2013,s2,781021.0,2013_s2
10,agadir,2014,s1,726347.0,2014_s1
11,agadir,2014,s2,741100.0,2014_s2
12,agadir,2015,s1,695868.0,2015_s1
13,agadir,2015,s2,712280.0,2015_s2
14,agadir,2016,s1,622361.0,2016_s1
15,agadir,2016,s2,711812.0,2016_s2
16,agadir,2017,s1,901347.0,2017_s1
17,agadir,2017,s2,642897.0,2017_s2
18,agadir,2018,s1,901347.0,2018_s1
19,agadir,2018,s2,1021374.0,2018_s2
20,agadir,2019,s1,971189.0,2019_s1
21,agadir,2019,s2,1037851.0,2019_s2
22,agadir,2020,s1,0.0,2020_s1
23,agadir,2020,s2,587566.0,2020_s2
24,agadir,2021,s1,218518.0,2021_s1
25,agadir,2021,s2,386530.0,2021_s2
26,agadir,2022,s1,869271.0,2022_s1
27,agadir,2022,s2,905334.0,2022_s2
28,agadir,2023,s1,1096971.0,2023_s1
29,agadir,2023,s2,1207074.0,2023_s2
30,agadir,2024,s1,1471058.0,2024_s1
31,agadir,2024,s2,,2024_s2
32,casablanca,2009,s1,,2009_s1
33,casablanca,2009,s2,,2009_s2
34,casablanca,2010,s1,3359694.0,2010_s1
35,casablanca,2010,s2,3885814.0,2010_s2
36,casablanca,2011,s1,3400010.0,2011_s1
37,casablanca,2011,s2,3890304.0,2011_s2
38,casablanca,2012,s1,3295991.0,2012_s1
39,casablanca,2012,s2,3890340.0,2012_s2
40,casablanca,2013,s1,3455511.0,2013_s1
41,casablanca,2013,s2,4104240.0,2013_s2
42,casablanca,2014,s1,3807997.0,2014_s1
43,casablanca,2014,s2,4163708.0,2014_s2
44,casablanca,2015,s1,3745180.0,2015_s1
45,casablanca,2015,s2,4434903.0,2015_s2
46,casablanca,2016,s1,3832548.0,2016_s1
47,casablanca,2016,s2,4783926.0,2016_s2
48,casablanca,2017,s1,4255311.0,2017_s1
49,casablanca,2017,s2,5109550.0,2017_s2
50,casablanca,2018,s1,4496857.0,2018_s1
51,casablanca,2018,s2,5237463.0,2018_s2
52,casablanca,2019,s1,4671066.0,2019_s1
53,casablanca,2019,s2,5642130.0,2019_s2
54,casablanca,2020,s1,0.0,2020_s1
55,casablanca,2020,s2,2994902.0,2020_s2
56,casablanca,2021,s1,1238912.0,2021_s1
57,casablanca,2021,s2,2911103.0,2021_s2
58,casablanca,2022,s1,3721753.0,2022_s1
59,casablanca,2022,s2,3915890.0,2022_s2
60,casablanca,2023,s1,4052030.0,2023_s1
61,casablanca,2023,s2,5738884.0,2023_s2
62,casablanca,2024,s1,4836649.0,2024_s1
63,casablanca,2024,s2,,2024_s2
64,fes_saiss,2009,s1,,2009_s1
65,fes_saiss,2009,s2,,2009_s2
66,fes_saiss,2010,s1,392809.0,2010_s1
67,fes_saiss,2010,s2,350209.0,2010_s2
68,fes_saiss,2011,s1,397523.0,2011_s1
69,fes_saiss,2011,s2,395088.0,2011_s2
70,fes_saiss,2012,s1,308393.0,2012_s1
71,fes_saiss,2012,s2,346298.0,2012_s2
72,fes_saiss,2013,s1,339903.0,2013_s1
73,fes_saiss,2013,s2,450882.0,2013_s2
74,fes_saiss,2014,s1,385915.0,2014_s1
75,fes_saiss,2014,s2,405649.0,2014_s2
76,fes_saiss,2015,s1,418591.0,2015_s1
77,fes_saiss,2015,s2,467934.0,2015_s2
78,fes_saiss,2016,s1,414590.0,2016_s1
79,fes_saiss,2016,s2,478384.0,2016_s2
80,fes_saiss,2017,s1,607330.0,2017_s1
81,fes_saiss,2017,s2,508765.0,2017_s2
82,fes_saiss,2018,s1,607330.0,2018_s1
83,fes_saiss,2018,s2,702909.0,2018_s2
84,fes_saiss,2019,s1,689021.0,2019_s1
85,fes_saiss,2019,s2,729929.0,2019_s2
86,fes_saiss,2020,s1,0.0,2020_s1
87,fes_saiss,2020,s2,412710.0,2020_s2
88,fes_saiss,2021,s1,186725.0,2021_s1
89,fes_saiss,2021,s2,468221.0,2021_s2
90,fes_saiss,2022,s1,655868.0,2022_s1
91,fes_saiss,2022,s2,663324.0,2022_s2
92,fes_saiss,2023,s1,809514.0,2023_s1
93,fes_saiss,2023,s2,914553.0,2023_s2
94,fes_saiss,2024,s1,908250.0,2024_s1
95,fes_saiss,2024,s2,,2024_s2
96,marrakech,2009,s1,,2009_s1
97,marrakech,2009,s2,,2009_s2
98,marrakech,2010,s1,1716613.0,2010_s1
99,marrakech,2010,s2,1736431.0,2010_s2
100,marrakech,2011,s1,1737212.0,2011_s1
101,marrakech,2011,s2,1692962.0,2011_s2
102,marrakech,2012,s1,1674164.0,2012_s1
103,marrakech,2012,s2,1699311.0,2012_s2
104,marrakech,2013,s1,1886592.0,2013_s1
105,marrakech,2013,s2,1941926.0,2013_s2
106,marrakech,2014,s1,2061079.0,2014_s1
107,marrakech,2014,s2,1973331.0,2014_s2
108,marrakech,2015,s1,2058311.0,2015_s1
109,marrakech,2015,s2,1920414.0,2015_s2
110,marrakech,2016,s1,1911711.0,2016_s1
111,marrakech,2016,s2,1982516.0,2016_s2
112,marrakech,2017,s1,2550611.0,2017_s1
113,marrakech,2017,s2,1815652.0,2017_s2
114,marrakech,2018,s1,2550611.0,2018_s1
115,marrakech,2018,s2,2730013.0,2018_s2
116,marrakech,2019,s1,3146234.0,2019_s1
117,marrakech,2019,s2,3252911.0,2019_s2
118,marrakech,2020,s1,0.0,2020_s1
119,marrakech,2020,s2,1508780.0,2020_s2
120,marrakech,2021,s1,667002.0,2021_s1
121,marrakech,2021,s2,858489.0,2021_s2
122,marrakech,2022,s1,2264759.0,2022_s1
123,marrakech,2022,s2,2638922.0,2022_s2
124,marrakech,2023,s1,3464327.0,2023_s1
125,marrakech,2023,s2,3439637.0,2023_s2
126,marrakech,2024,s1,4492705.0,2024_s1
127,marrakech,2024,s2,,2024_s2
128,rabat_sale,2009,s1,,2009_s1
129,rabat_sale,2009,s2,,2009_s2
130,rabat_sale,2010,s1,164133.0,2010_s1
131,rabat_sale,2010,s2,202683.0,2010_s2
132,rabat_sale,2011,s1,166103.0,2011_s1
133,rabat_sale,2011,s2,206042.0,2011_s2
134,rabat_sale,2012,s1,157493.0,2012_s1
135,rabat_sale,2012,s2,194374.0,2012_s2
136,rabat_sale,2013,s1,191998.0,2013_s1
137,rabat_sale,2013,s2,293715.0,2013_s2
138,rabat_sale,2014,s1,324931.0,2014_s1
139,rabat_sale,2014,s2,359282.0,2014_s2
140,rabat_sale,2015,s1,327156.0,2015_s1
141,rabat_sale,2015,s2,378794.0,2015_s2
142,rabat_sale,2016,s1,409077.0,2016_s1
143,rabat_sale,2016,s2,464092.0,2016_s2
144,rabat_sale,2017,s1,454387.0,2017_s1
145,rabat_sale,2017,s2,470299.0,2017_s2
146,rabat_sale,2018,s1,454387.0,2018_s1
147,rabat_sale,2018,s2,533308.0,2018_s2
148,rabat_sale,2019,s1,527771.0,2019_s1
149,rabat_sale,2019,s2,573346.0,2019_s2
150,rabat_sale,2020,s1,0.0,2020_s1
151,rabat_sale,2020,s2,299333.0,2020_s2
152,rabat_sale,2021,s1,146193.0,2021_s1
153,rabat_sale,2021,s2,322682.0,2021_s2
154,rabat_sale,2022,s1,417507.0,2022_s1
155,rabat_sale,2022,s2,455798.0,2022_s2
156,rabat_sale,2023,s1,553697.0,2023_s1
157,rabat_sale,2023,s2,647979.0,2023_s2
158,rabat_sale,2024,s1,777008.0,2024_s1
159,rabat_sale,2024,s2,,2024_s2
160,tanger,2009,s1,,2009_s1
161,tanger,2009,s2,,2009_s2
162,tanger,2010,s1,366224.0,2010_s1
163,tanger,2010,s2,401579.0,2010_s2
164,tanger,2011,s1,370619.0,2011_s1
165,tanger,2011,s2,479263.0,2011_s2
166,tanger,2012,s1,356111.0,2012_s1
167,tanger,2012,s2,431484.0,2012_s2
168,tanger,2013,s1,357207.0,2013_s1
169,tanger,2013,s2,465052.0,2013_s2
170,tanger,2014,s1,354887.0,2014_s1
171,tanger,2014,s2,411477.0,2014_s2
172,tanger,2015,s1,328957.0,2015_s1
173,tanger,2015,s2,458442.0,2015_s2
174,tanger,2016,s1,359719.0,2016_s1
175,tanger,2016,s2,488924.0,2016_s2
176,tanger,2017,s1,505222.0,2017_s1
177,tanger,2017,s2,568955.0,2017_s2
178,tanger,2018,s1,505222.0,2018_s1
179,tanger,2018,s2,622351.0,2018_s2
180,tanger,2019,s1,597119.0,2019_s1
181,tanger,2019,s2,759545.0,2019_s2
182,tanger,2020,s1,0.0,2020_s1
183,tanger,2020,s2,490488.0,2020_s2
184,tanger,2021,s1,129575.0,2021_s1
185,tanger,2021,s2,739267.0,2021_s2
186,tanger,2022,s1,727474.0,2022_s1
187,tanger,2022,s2,704701.0,2022_s2
188,tanger,2023,s1,848315.0,2023_s1
189,tanger,2023,s2,1065383.0,2023_s2
190,tanger,2024,s1,1022889.0,2024_s1
191,tanger,2024,s2,,2024_s2
